Attribute_Name,Code_Value,Code Description,Entity Type_Name,
AVERAGE_DURATION_TYPE_CODE,HR,"Hourly
",MCL_VALUE,
AVERAGE_DURATION_TYPE_CODE,MN,"Monthly
",MCL_VALUE,
AVERAGE_DURATION_TYPE_CODE,NA,"Not Applicable - No Mon
",MCL_VALUE,
AVERAGE_DURATION_TYPE_CODE,QT,"Quarterly
",MCL_VALUE,
AVERAGE_DURATION_TYPE_CODE,WK,"Weekly
",MCL_VALUE,
AVERAGE_DURATION_TYPE_CODE,YR,"Yearly
",MCL_VALUE,
AVERAGE_TYPE_CODE,LRAA,"Locational Running Annual Average
",MCL_VALUE,
AVERAGE_TYPE_CODE,MPA,"Monitoring Period Average
",MCL_VALUE,
AVERAGE_TYPE_CODE,RAA,"Running Annual Average
",MCL_VALUE,
AVERAGE_TYPE_CODE,SAM,"Schedule Arithmetic Mean
",MCL_VALUE,
BEGIN_DATE_CODE,MN,"First and last dates of the calendar month for the monitoring period.
",VIOLATION_PERIOD_RULE,
BEGIN_DATE_CODE,MP,"First and last dates of monitoring period.
",VIOLATION_PERIOD_RULE,
BEGIN_DATE_CODE,NMP,"Next Monitoring period begin and end dates.
",VIOLATION_PERIOD_RULE,
BEGIN_DATE_CODE,QT,"First and last dates of the calendar quarter for the monitoring period.
",VIOLATION_PERIOD_RULE,
BEGIN_DATE_CODE,SS,"Sample Schedule begin and end dates.
",VIOLATION_PERIOD_RULE,
BEGIN_DATE_CODE,ST,"Same as State Period dates.
",VIOLATION_PERIOD_RULE,
BIN_STATUS,APVD,"Approved
",TREATMENT_PLANT,
BIN_STATUS,DENY,"Denied
",TREATMENT_PLANT,
BIN_STATUS,DTMD,"Determined
",TREATMENT_PLANT,
BIN_STATUS,NRQD,"Not Required
",TREATMENT_PLANT,
BIN_STATUS,RECV,"Received
",TREATMENT_PLANT,
BIN_STATUS,REQT,"Requested
",TREATMENT_PLANT,
BIN_STATUS,RESB,"Resubmitted
",TREATMENT_PLANT,
BIN_STATUS,RQD,"Required
",TREATMENT_PLANT,
BIN_STATUS,RVWD,"Reviewed
",TREATMENT_PLANT,
BIN_STATUS,URVW,"Under Review
",TREATMENT_PLANT,
BOTTOM_DEPTH_MEASURE_UOM,FT,"Feet
",WELL_CASING,
BOTTOM_DEPTH_MEASURE_UOM,IN,"Inches
",WELL_CASING,
CATEGORY_CODE,MCL,"MCL violation type - An MCL violation means a contaminant has been detected above maximum contaminant level consistently in drinking water.  MCL is the highest level of contamination that the U.S. Environmental Protection Agency (EPA) allows in drinking water.  MCLs ensure that drinking water does not pose a short-term or long-term health risk.
",VIOLATION_TYPE,
CATEGORY_CODE,MON,"Monitoring & Reporting violation type - A MON violation is a violation of a monitoring requirement or a reporting requirement associated with the monitoring.  A monitoring violation occurs when a public water system owner does not collect a required sample.  A reporting violation occurs when a public water system owner does not report the result(s) to the state from a sample that was collected.  When a public water system's owner does not collect a required sample, the violation is often referred to as a monitoring and reporting violation.
",VIOLATION_TYPE,
CATEGORY_CODE,PN,"Public Notice - A PN violation occurs when a public water system owner does not notify the public about another violation in a timely or appropriate fashion.
",VIOLATION_TYPE,
CATEGORY_CODE,RPT,"Reporting - A RPT violation occurs when public water system owners fail to report certain information. The RPT category does not include the failure to report analytical results, which falls under the MON category.

",VIOLATION_TYPE,
CATEGORY_CODE,SS,"Sanitary Survey - An SS violation occurs when a public water system owner does not complete a sanitary survey by a required date.
",VIOLATION_TYPE,
CATEGORY_CODE,TT,"Treatment Technique - A TT violation occurs when a public water system owner fails to apply a prescribed treatment technique by the allotted time.  Actions that are classified as treatment techniques are broad.  Examples of TT violations include: failure to employ a certified operator, inadequate removal of organic materials from raw water.
",VIOLATION_TYPE,
CATEGORY_CODE,V/E,"Variance/Exemption - A V/E violation is issued when a public water system owner has been granted a variance or an exemption with a schedule of activities and the PWS owner fails to carry out one or more of the scheduled activities on time.
",VIOLATION_TYPE,
CERTIFICATION_IND,N,"No
",LAB_ANALYTE_METHOD_ASGMT,
CERTIFICATION_IND,Y,"Yes
",LAB_ANALYTE_METHOD_ASGMT,
CLOSE_PARENTHESIS_CODE,),"A close parenthesis immediately follows the related monitoring condition, when sequentially processing all monitoring conditions that qualify a monitoring requirement.
",MONITORING_REQMT_CONDITION_ASGMT,
CODE_CHARACTERISTIC,D,"DATE
",CODE,
CODE_CHARACTERISTIC,N,"NUMERIC
",CODE,
CODE_CHARACTERISTIC,T,"CHARACTER
",CODE,
COLLECTION_INDICATOR_CODE,N,"No, indicating the Standard Method Code is not a sample collection method.
",STANDARD_METHOD_NUMBER,
COLLECTION_INDICATOR_CODE,Y,"Yes, indicating the Standard Method Code is a sample collection method.
",STANDARD_METHOD_NUMBER,
COMPLIANCE_PURPOS_INDICATOR_CODE,N,"No means sample taken for other than compliance purposes (e.g. Lab Performance)
",SAMPLE_SUMMARY,
COMPLIANCE_PURPOS_INDICATOR_CODE,N,"No means sample taken for other than compliance purposes (e.g. Lab Performance)
",SAMPLE,
COMPLIANCE_PURPOS_INDICATOR_CODE,Y,"Yes means for Compliance Purposes
",SAMPLE_SUMMARY,
COMPLIANCE_PURPOS_INDICATOR_CODE,Y,"Yes means for Compliance Purposes
",SAMPLE,
COMPLIANCE_SCHEDULE_STATUS_CODE,F,"Final
",STANDARD_RESPONSE,
COMPLIANCE_SCHEDULE_STATUS_CODE,P,"Proposed
",STANDARD_RESPONSE,
COMPLIANCE_SCHEDULE_STATUS_CODE,S,"Superceded
",STANDARD_RESPONSE,
CONFINEMENT_INDICATOR_CODE,N,"No
",SCREEN,
CONFINEMENT_INDICATOR_CODE,Y,"Yes
",SCREEN,
CONNECTION_TYPE_CODE,D,"Direct
",TREATMENT_UNIT_FLOW,
CONNECTION_TYPE_CODE,D,"Direct - a direct physical connection between two water system facilities.
",WATER_SYS_FACILITY_FLOW,
CONNECTION_TYPE_CODE,I,"Indirect
",TREATMENT_UNIT_FLOW,
CONNECTION_TYPE_CODE,I,"Indirect - an indirect connection between two water system facilities (eg. water is trucked from one water system facility to another). 
",WATER_SYS_FACILITY_FLOW,
CONTACT_TIME_STATUS,APVD,"Approved
",TREATMENT_PLANT,
CONTACT_TIME_STATUS,DENY,"Denied
",TREATMENT_PLANT,
CONTACT_TIME_STATUS,DTMD,"Determined
",TREATMENT_PLANT,
CONTACT_TIME_STATUS,NRQD,"Not Required
",TREATMENT_PLANT,
CONTACT_TIME_STATUS,RECV,"Received
",TREATMENT_PLANT,
CONTACT_TIME_STATUS,REQT,"Requested
",TREATMENT_PLANT,
CONTACT_TIME_STATUS,RESB,"Resubmitted
",TREATMENT_PLANT,
CONTACT_TIME_STATUS,RQD,"Required
",TREATMENT_PLANT,
CONTACT_TIME_STATUS,RVWD,"Reviewed
",TREATMENT_PLANT,
CONTACT_TIME_STATUS,URVW,"Under Review
",TREATMENT_PLANT,
CONTAMINANT_REQUIRED_CODE,MAY,"May have a contaminant code reported to EPA, but is not required.  If the violation type is associated to specific analytes, the list of optional analytes is restricted to those assigned.  If none is associated, there is no restriction.
",VIOLATION_TYPE,
CONTAMINANT_REQUIRED_CODE,MUST,"Must not have a contaminant code reported to EPA.
",VIOLATION_TYPE,
CONTAMINANT_REQUIRED_CODE,NOT,"Must have a contaminant code reported to EPA.  If the violation type is associated to specific analytes, the list is restricted to one of those assigned.  If none are assigned there is no restriction to the specific analyte that must be reported.
",VIOLATION_TYPE,
CONTROL_LEVEL_TYPE,95P,"95th percentile
",FACILITY_ANALYTE_LEVEL,
CONTROL_LEVEL_TYPE,AVG,"Average
",FACILITY_ANALYTE_LEVEL,
CONTROL_LEVEL_TYPE,MAX,"Maximum
",FACILITY_ANALYTE_LEVEL,
CONTROL_LEVEL_TYPE,MIN,"Minimum
",FACILITY_ANALYTE_LEVEL,
CONTROL_LEVEL_TYPE,RCB,"Reliably and Consistently Below the MCL - a level that supercedes a Trigger level - recorded as an Analyte Level, for a site and analyte that have been determined to be reliably and consistently below the MCL.
",FACILITY_ANALYTE_LEVEL,
CONTROL_LEVEL_TYPE,SCR,"Screening level - a level above which an analyte used as a screen triggers either a different frequency of monitoring for that analyte or monitoring for a different analyte.
",FACILITY_ANALYTE_LEVEL,
COUNT_TYPE,CFU,"Colonly Forming Units per milliliter
",MICROBIAL_ANALYTICAL_RESULT,
COUNT_TYPE,COLONIES,"using Membrane Filter Method
",MICROBIAL_ANALYTICAL_RESULT,
COUNT_TYPE,CYSTSC,"Cysts, calculated (for Giardia lamblia)
",MICROBIAL_ANALYTICAL_RESULT,
COUNT_TYPE,CYSTSO,"Cysts, observed (for Giardia Lamblia)
",MICROBIAL_ANALYTICAL_RESULT,
COUNT_TYPE,MPN,"Most Probable Number per 100ml
",MICROBIAL_ANALYTICAL_RESULT,
COUNT_TYPE,OBSVNS,"Observations (for measuring other organisms such as Protozoa, Algae, Nematodes, Rotifers, Crustaceans, Insects).
",MICROBIAL_ANALYTICAL_RESULT,
COUNT_TYPE,OCYSTSC,"Oocysts, calculated (for Cryptosporidium)
",MICROBIAL_ANALYTICAL_RESULT,
COUNT_TYPE,OCYSTSO,"Oocysts, observed (for Cryptosporidium)
",MICROBIAL_ANALYTICAL_RESULT,
COUNT_TYPE,PFU,"Plaque forming units per 100ml
",MICROBIAL_ANALYTICAL_RESULT,
COUNT_TYPE,TUBES,"using Multiple Tube Method
",MICROBIAL_ANALYTICAL_RESULT,
COUNT_UOM_CODE,100GAL,"100 gallons
",MICROBIAL_ANALYTICAL_RESULT,
COUNT_UOM_CODE,100L,"100 liters
",MICROBIAL_ANALYTICAL_RESULT,
COUNT_UOM_CODE,100ML,"100 milliliters
",MICROBIAL_ANALYTICAL_RESULT,
COUNT_UOM_CODE,10ML,"10 milliliters
",MICROBIAL_ANALYTICAL_RESULT,
COUNT_UOM_CODE,1ML,"1 milliliter
",MICROBIAL_ANALYTICAL_RESULT,
COUNT_UOM_CODE,400GAL,"400 gallons
",MICROBIAL_ANALYTICAL_RESULT,
COUNT_UOM_CODE,400ML,"400 milliliters
",MICROBIAL_ANALYTICAL_RESULT,
COUNT_UOM_CODE,500ML,"500 milliliters
",MICROBIAL_ANALYTICAL_RESULT,
COUNT_UOM_CODE,5ML,"5 milliliters
",MICROBIAL_ANALYTICAL_RESULT,
COUNT_UOM_CODE,FLD100,"Field at 100 Power (used in conjunction with measuring numbers of Observations)
",MICROBIAL_ANALYTICAL_RESULT,
COUNT_UOM_CODE,GAL,"Gallons
",MICROBIAL_ANALYTICAL_RESULT,
COUNT_UOM_CODE,LITER,"Liters
",MICROBIAL_ANALYTICAL_RESULT,
COUNT_UOM_CODE,ML,"Milliliters
",MICROBIAL_ANALYTICAL_RESULT,
COUNT_UOM_CODE,SAMP VOL,"Sample Volume
",MICROBIAL_ANALYTICAL_RESULT,
COUNT_UOM_CODE,SLIDE,"Slide
",MICROBIAL_ANALYTICAL_RESULT,
D_ANALYTE_ASC_IND,,"No association
",SAMPLING_PLAN,
D_ANALYTE_ASC_IND,AG,"Analyte Group
",SAMPLING_PLAN,
D_ANALYTE_ASC_IND,AN,"Analyte
",SAMPLING_PLAN,
D_CATEGORY_FLOW_CODE,GE,"General Samples
",SAMPLE,
D_CATEGORY_FLOW_CODE,PB,"Lead and Copper
",SAMPLE,
D_CATEGORY_FLOW_CODE,TC,"Total Coliform
",SAMPLE,
D_DATA_ORIGIN_CODE,H,"Headquarters
",SAMPLE,
D_DATA_ORIGIN_CODE,H,"Headquarters
",MILESTONE_EVENT,
D_DATA_ORIGIN_CODE,H,"Headquarters
",ENFORCEMENT_ACTION,
D_DATA_ORIGIN_CODE,R,"Region
",SAMPLE,
D_DATA_ORIGIN_CODE,R,"Region
",MILESTONE_EVENT,
D_DATA_ORIGIN_CODE,R,"Region
",ENFORCEMENT_ACTION,
D_DATA_ORIGIN_CODE,S,"State
",SAMPLE,
D_DATA_ORIGIN_CODE,S,"State
",MILESTONE_EVENT,
D_DATA_ORIGIN_CODE,S,"State
",ENFORCEMENT_ACTION,
D_FED_PRIMARY_SOURCE_CODE,GU,"Groundwater UDI Surfacewater
",WATER_SYSTEM,
D_FED_PRIMARY_SOURCE_CODE,GU,"Groundwater UDI Surfacewater
",WATER_SYSTEM_HISTORY,
D_FED_PRIMARY_SOURCE_CODE,GUP,"Purchased Groundwater UDI Surface water
",WATER_SYSTEM,
D_FED_PRIMARY_SOURCE_CODE,GUP,"Purchased Groundwater UDI Surface water
",WATER_SYSTEM_HISTORY,
D_FED_PRIMARY_SOURCE_CODE,GW,"Ground water
",WATER_SYSTEM_HISTORY,
D_FED_PRIMARY_SOURCE_CODE,GW,"Ground water
",WATER_SYSTEM,
D_FED_PRIMARY_SOURCE_CODE,GWP,"Purchased ground water
",WATER_SYSTEM_HISTORY,
D_FED_PRIMARY_SOURCE_CODE,GWP,"Purchased ground water
",WATER_SYSTEM,
D_FED_PRIMARY_SOURCE_CODE,SW,"Surface water
",WATER_SYSTEM_HISTORY,
D_FED_PRIMARY_SOURCE_CODE,SW,"Surface water
",WATER_SYSTEM,
D_FED_PRIMARY_SOURCE_CODE,SWP,"Purchased surface water
",WATER_SYSTEM_HISTORY,
D_FED_PRIMARY_SOURCE_CODE,SWP,"Purchased surface water
",WATER_SYSTEM,
D_GENERATED_ID_SOURCE_CODE,M,"Milestone generated ID
",MILESTONE_EVENT,
D_GENERATED_ID_SOURCE_CODE,S,"system generated
",SAMPLE,
D_GENERATED_ID_SOURCE_CODE,T,"System generated or user specified Treatment ID
",MILESTONE_EVENT,
D_GENERATED_ID_SOURCE_CODE,U,"User specified milestone
",MILESTONE_EVENT,
D_GENERATED_ID_SOURCE_CODE,V,"User specified variance/exemption
",MILESTONE_EVENT,
D_GENERATED_ID_SOURCE_CODE,X,"Variance/Exemption generated ID
",MILESTONE_EVENT,
D_HISTORY_INDICATOR_CODE,C,"Current 
",WATER_SYSTEM_HISTORY,
D_HISTORY_INDICATOR_CODE,C,"Current 
",WATER_SYSTEM,
D_HISTORY_INDICATOR_CODE,H,"Historical 
",WATER_SYSTEM_HISTORY,
D_HISTORY_INDICATOR_CODE,H,"Historical 
",WATER_SYSTEM,
D_NEW_WS_FLAG,N,"No, indicating the Water System has more than the minimum data valued in TINWSYS.
",WATER_SYSTEM,
D_NEW_WS_FLAG,Y,"Yes, indicating the Water System has only the minimum data valued in TINWSYS.
",WATER_SYSTEM,
D_PWS_FEDERAL_TYPE_CODE,C,"Community water system
",WATER_SYSTEM_HISTORY,
D_PWS_FEDERAL_TYPE_CODE,C,"Community water system
",WATER_SYSTEM,
D_PWS_FEDERAL_TYPE_CODE,NC,"Non-community transient water system
",WATER_SYSTEM_HISTORY,
D_PWS_FEDERAL_TYPE_CODE,NC,"Non-community transient water system
",WATER_SYSTEM,
D_PWS_FEDERAL_TYPE_CODE,NP,"Non-public water system
",WATER_SYSTEM_HISTORY,
D_PWS_FEDERAL_TYPE_CODE,NP,"Non-public water system
",WATER_SYSTEM,
D_PWS_FEDERAL_TYPE_CODE,NTNC,"Non-community non-transient water system
",WATER_SYSTEM_HISTORY,
D_PWS_FEDERAL_TYPE_CODE,NTNC,"Non-community non-transient water system
",WATER_SYSTEM,
D_SOURCE_FLAG,N,"No
",WATER_SYSTEM_FACILITY,
D_SOURCE_FLAG,Y,"Yes
",WATER_SYSTEM_FACILITY,
D_STATE_PRIMARY_SOURCE_CODE,GU,"Groundwater UDI Surfacewater
",WATER_SYSTEM,
